96,40,117,29,123,40,101,51
67,48,97,44,100,63,69,67
79,67,124,43,133,59,88,83
94,86,133,56,140,65,101,95
78,100,97,85,103,93,84,108
217,116,245,102,253,118,225,131
191,121,217,114,221,127,195,135
179,129,189,129,189,141,179,141
356,132,376,132,376,148,356,148
327,142,344,142,344,155,327,155
308,150,318,150,318,160,308,160
309,167,385,148,389,164,313,184
316,189,391,166,397,186,323,209
103,203,117,203,117,214,103,214
97,212,103,212,103,219,97,219
106,206,119,214,102,240,89,232
58,223,83,216,85,226,61,233
74,229,95,227,96,239,75,241
64,233,74,233,74,245,64,245
